,Agency Name,Employee Last Name,Employee First Name,Participant Last Name,Participant First Name,Participant Timezone,Scheduled Visit Start,Scheduled Visit End,Actual Visit Start,Actual Visit End,Notes,Status ,SVS,SVE,DayOftheWeek,WeekOfyear,Day,Month,Year,hourDigit,SchedMin,AcctMIn,StartDif,EndDif,HoursDif,Untis,Difference,Code,Timelaps,Split,split_csum,Count,Grouping,MaxSVS,MinSVS,StartDate,EndDate
12,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-13 13:00:00,2021-11-13 21:00:00,2021-11-13 13:00:19,2021-11-13 21:00:11,,Complete Real Time,2021-11-13 13:00:00,2021-11-13 21:00:00,5,45,13,11,2021,13,480.0,479.8666666666667,0.31666666666666665,0.18333333333333332,-0.002222222222222096,32.0,-0.13333333333332575,13_John_Smith,0,0,0,1,11_45_0,14,13,11/13/2021,11/14/2021
14,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-14 13:00:00,2021-11-14 20:00:00,2021-11-14 13:00:19,2021-11-14 21:01:05,,Complete Real Time,2021-11-14 13:00:00,2021-11-14 20:00:00,6,45,14,11,2021,13,420.0,480.76666666666665,0.31666666666666665,61.083333333333336,1.0127777777777776,28.0,60.76666666666665,13_John_Smith,1,0,0,1,11_45_0,14,13,11/13/2021,11/14/2021
34,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-04 13:00:00,2021-12-04 21:00:00,2021-12-04 13:00:17,2021-12-04 21:00:32,,Complete Real Time,2021-12-04 13:00:00,2021-12-04 21:00:00,5,48,4,12,2021,13,480.0,480.25,0.2833333333333333,0.5333333333333333,0.004166666666666667,32.0,0.25,13_John_Smith,20,1,1,1,12_48_1,4,4,12/4/2021,12/4/2021
39,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-11 13:00:00,2021-12-11 21:00:00,2021-12-11 13:00:00,2021-12-11 21:00:00,,Completed Manually,2021-12-11 13:00:00,2021-12-11 21:00:00,5,49,11,12,2021,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,7,1,1,1,12_49_1,12,11,12/11/2021,12/12/2021
41,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-12 13:00:00,2021-12-12 20:00:00,2021-12-12 13:00:47,2021-12-12 21:00:34,,Complete Real Time,2021-12-12 13:00:00,2021-12-12 20:00:00,6,49,12,12,2021,13,420.0,479.78333333333336,0.7833333333333333,60.56666666666667,0.9963888888888893,28.0,59.78333333333336,13_John_Smith,1,0,1,1,12_49_1,12,11,12/11/2021,12/12/2021
52,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-18 13:00:00,2021-12-18 21:00:00,2021-12-18 13:09:37,2021-12-18 21:10:04,,Complete Real Time,2021-12-18 13:00:00,2021-12-18 21:00:00,5,50,18,12,2021,13,480.0,480.45,9.616666666666667,10.066666666666666,0.007499999999999811,32.0,0.44999999999998863,13_John_Smith,6,1,1,1,12_50_1,19,18,12/18/2021,12/19/2021
54,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-19 13:00:00,2021-12-19 20:00:00,2021-12-19 13:09:35,2021-12-20 04:20:54,,Complete Real Time,2021-12-19 13:00:00,2021-12-19 20:00:00,6,50,19,12,2021,13,420.0,911.3166666666667,9.583333333333334,500.9,8.188611111111111,28.0,491.3166666666667,13_John_Smith,1,0,1,1,12_50_1,19,18,12/18/2021,12/19/2021
65,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-25 13:00:00,2021-12-25 21:00:00,2021-12-25 13:01:07,2021-12-25 21:00:28,,Complete Real Time,2021-12-25 13:00:00,2021-12-25 21:00:00,5,51,25,12,2021,13,480.0,479.35,1.1166666666666667,0.4666666666666667,-0.010833333333332954,32.0,-0.6499999999999773,13_John_Smith,6,1,1,1,12_51_1,25,25,12/25/2021,12/25/2021
75,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-01 13:00:00,2022-01-01 21:00:00,2022-01-01 13:00:00,2022-01-01 21:00:00,,Completed Manually,2022-01-01 13:00:00,2022-01-01 21:00:00,5,52,1,1,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,7,1,1,1,1_52_1,1,1,1/1/2022,1/1/2022
89,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-09 13:00:00,2022-01-09 20:00:00,2022-01-09 13:00:36,2022-01-09 21:00:12,,Complete Real Time,2022-01-09 13:00:00,2022-01-09 20:00:00,6,1,9,1,2022,13,420.0,479.6,0.6,60.2,0.9933333333333337,28.0,59.60000000000002,13_John_Smith,8,1,1,1,1_1_1,9,9,1/9/2022,1/9/2022
